serum	antigen	OD
P01	BSA	0.1526
P02	BSA	0.0895
P03	BSA	0.0503
P04	BSA	0.0817
P05	BSA	0.0554
P06	BSA	0.1328
P07	BSA	0.0472
P08	BSA	0.1004
P09	BSA	0.0962
P10	BSA	0.4114
P01	IR1	0.3308
P02	IR1	0.0993
P03	IR1	0.0681
P04	IR1	0.0963
P05	IR1	0.0833
P06	IR1	0.1934
P07	IR1	0.0662
P08	IR1	0.0765
P09	IR1	0.3105
P10	IR1	0.0928
P01	IR2	0.3169
P02	IR2	0.0891
P03	IR2	0.0657
P04	IR2	0.0972
P05	IR2	0.0709
P06	IR2	0.1833
P07	IR2	0.0516
P08	IR2	0.0761
P09	IR2	0.1449
P10	IR2	0.0881
P01	IR4	0.1337
P02	IR4	0.0914
P03	IR4	0.25
P04	IR4	0.7784
P05	IR4	0.1462
P06	IR4	0.3416
P07	IR4	0.1002
P08	IR4	0.1184
P09	IR4	0.2543
P10	IR4	0.2534
P01	IR5	0.3479
P02	IR5	0.1001
P03	IR5	0.0637
P04	IR5	0.1051
P05	IR5	0.0701
P06	IR5	0.2025
P07	IR5	0.0493
P08	IR5	0.086
P09	IR5	0.1582
P10	IR5	0.1285
P01	IR6	0.4121
P02	IR6	0.173
P03	IR6	0.1471
P04	IR6	0.2023
P05	IR6	0.1524
P06	IR6	0.3497
P07	IR6	0.0914
P08	IR6	0.1313
P09	IR6	1.1459
P10	IR6	0.1361
P01	VlsE	0.3971
P02	VlsE	0.2007
P03	VlsE	0.9365
P04	VlsE	0.979
P05	VlsE	0.101
P06	VlsE	0.2276
P07	VlsE	0.1014
P08	VlsE	0.1282
P09	VlsE	0.9994
P10	VlsE	0.1522
