serum	antigen	OD
R4432	VlsE	0.6585
R4433	VlsE	0.6118
R4434	VlsE	0.6044
R4435	VlsE	0.5968
R4432	BSA	0.0348
R4433	BSA	0.0364
R4434	BSA	0.0321
R4435	BSA	0.0349
R4432	IR1	0.0444
R4433	IR1	0.0353
R4434	IR1	0.0512
R4435	IR1	0.0479
R4432	IR2	0.1273
R4433	IR2	0.36
R4434	IR2	0.0942
R4435	IR2	0.172
R4432	IR4	0.5765
R4433	IR4	0.4229
R4434	IR4	0.3319
R4435	IR4	0.5286
R4432	IR5	0.0966
R4433	IR5	0.2144
R4434	IR5	0.0492
R4435	IR5	0.0465
R4432	IR6	0.3739
R4433	IR6	0.5755
R4434	IR6	0.5788
R4435	IR6	0.522
