antibody	antigen	dilution	cont	OD
1D11	IR6	1	1000	0.9922
1D11	IR6	2	500	0.9327
1D11	IR6	4	250	0.9047
1D11	IR6	8	125	0.813
1D11	IR6	16	62.5	0.5339
1D11	IR6	32	31.25	0.2314
1D11	IR6	64	15.625	0.0953
1D11	IR6	128	7.8125	0.0606
1D11	IR6	256	3.906	0.0495
1D11	IR6	512	1.953	0.0428
15E2	IR4	1	1000	0.8747
15E2	IR4	2	500	0.7720
15E2	IR4	4	250	0.6899
15E2	IR4	8	125	0.4655
15E2	IR4	16	62.5	0.1967
15E2	IR4	32	31.25	0.0827
15E2	IR4	64	15.625	0.0568
15E2	IR4	128	7.8125	0.0496
15E2	IR4	256	3.906	0.0400
15E2	IR4	512	1.953	0.0400
17A8	IR4	1	1000	0.905
17A8	IR4	2	500	0.8938
17A8	IR4	4	250	0.8512
17A8	IR4	8	125	0.6606
17A8	IR4	16	62.5	0.3097
17A8	IR4	32	31.25	0.1191
17A8	IR4	64	15.625	0.0576
17A8	IR4	128	7.8125	0.0452
17A8	IR4	256	3.906	0.0416
17A8	IR4	512	1.953	0.0397
28D3	IR4	1	1000	0.8748
28D3	IR4	2	500	0.8017
28D3	IR4	4	250	0.4737
28D3	IR4	8	125	0.1847
28D3	IR4	16	62.5	0.0774
28D3	IR4	32	31.25	0.0493
28D3	IR4	64	15.625	0.0446
28D3	IR4	128	7.8125	0.0467
28D3	IR4	256	3.906	0.0396
28D3	IR4	512	1.953	0.0398
