cell_line	antigen	OD
1D11	VlsE	0.6551
2D12	VlsE	0.5406
2G10	VlsE	0.3085
7B4	VlsE	0.2288
7C9	VlsE	0.2666
12D7	VlsE	0.5406
15E2	VlsE	0.6397
17A8	VlsE	0.6828
18C2	VlsE	0.1798
18E10	VlsE	0.1849
28D3	VlsE	0.4407
29C6	VlsE	0.3053
32B7	VlsE	0.1942
37B10	VlsE	0.2951
40E5	VlsE	0.4725
41D9	VlsE	0.222
42G10	VlsE	0.1787
43C10	VlsE	0.565
44E4	VlsE	0.5224
56H4	VlsE	0.2692
1D11	BSA	0.0327
2D12	BSA	0.0332
2G10	BSA	0.0346
7B4	BSA	0.0313
7C9	BSA	0.0324
12D7	BSA	0.0343
15E2	BSA	0.0341
17A8	BSA	0.0512
18C2	BSA	0.0322
18E10	BSA	0.0336
28D3	BSA	0.035
29C6	BSA	0.0317
32B7	BSA	0.0341
37B10	BSA	0.0322
40E5	BSA	0.0341
41D9	BSA	0.033
42G10	BSA	0.0323
43C10	BSA	0.0325
44E4	BSA	0.0393
56H4	BSA	0.0386
1D11	IR1	0.036
1D11	IR2	0.0362
1D11	IR4	0.0353
1D11	IR5	0.0353
2D12	IR1	0.0343
2D12	IR2	0.0348
2D12	IR4	0.0349
2D12	IR5	0.0342
2G10	IR1	0.0336
2G10	IR2	0.0336
2G10	IR4	0.0329
2G10	IR5	0.0326
7B4	IR1	0.0333
7B4	IR2	0.0341
7B4	IR4	0.0338
7B4	IR5	0.0348
7C9	IR1	0.0338
7C9	IR2	0.0339
7C9	IR4	0.3949
7C9	IR5	0.0324
12D7	IR1	0.0323
12D7	IR2	0.0328
12D7	IR4	0.0339
12D7	IR5	0.0329
15E2	IR1	0.0345
15E2	IR2	0.0332
15E2	IR4	0.7109
15E2	IR5	0.0328
17A8	IR1	0.0322
17A8	IR2	0.0324
17A8	IR4	0.7996
17A8	IR5	0.0337
18C2	IR1	0.0351
18C2	IR2	0.034
18C2	IR4	0.032
18C2	IR5	0.0326
18E10	IR1	0.0318
18E10	IR2	0.0324
18E10	IR4	0.0326
18E10	IR5	0.0338
28D3	IR1	0.0377
28D3	IR2	0.0319
28D3	IR4	0.6498
28D3	IR5	0.0317
29C6	IR1	0.032
29C6	IR2	0.0331
29C6	IR4	0.0324
29C6	IR5	0.0335
32B7	IR1	0.0346
32B7	IR2	0.0322
32B7	IR4	0.032
32B7	IR5	0.0322
37B10	IR1	0.0318
37B10	IR2	0.0319
37B10	IR4	0.033
37B10	IR5	0.0317
40E5	IR1	0.0327
40E5	IR2	0.035
40E5	IR4	0.0321
40E5	IR5	0.0335
41D9	IR1	0.0317
41D9	IR2	0.0312
41D9	IR4	0.0316
41D9	IR5	0.0332
42G10	IR1	0.0319
42G10	IR2	0.0307
42G10	IR4	0.3024
42G10	IR5	0.031
43C10	IR1	0.0326
43C10	IR2	0.0327
43C10	IR4	0.0306
43C10	IR5	0.0317
44E4	IR1	0.0316
44E4	IR2	0.0301
44E4	IR4	0.0311
44E4	IR5	0.0309
56H4	IR1	0.0301
56H4	IR2	0.0309
56H4	IR4	0.0314
56H4	IR5	0.0316
1D11	IR6	0.5583
2D12	IR6	0.0395
2G10	IR6	0.0388
7B4	IR6	0.0373
7C9	IR6	0.0378
12D7	IR6	0.0378
15E2	IR6	0.0371
17A8	IR6	0.037
18C2	IR6	0.0405
18E10	IR6	0.0384
28D3	IR6	0.0392
29C6	IR6	0.0394
32B7	IR6	0.0378
37B10	IR6	0.0489
40E5	IR6	0.0398
41D9	IR6	0.0378
42G10	IR6	0.0443
43C10	IR6	0.0383
44E4	IR6	0.0389
56H4	IR6	0.0367


